Name,Position,Weight,Height,Age,Team
Sheldon Rankins,DT,305,74,30,cincinnati-bengals
Ryan Rehkow,P,235,77,26,cincinnati-bengals
Drew Sample,TE,255,77,28,cincinnati-bengals
Geno Stone,DB,210,71,25,cincinnati-bengals
Cam Taylor-Britt,DB,202,71,25,cincinnati-bengals
Jay Tufele,DT,305,75,25,cincinnati-bengals
Cordell Volson,OG,315,78,26,cincinnati-bengals
Isaiah Williams,WR,185,70,23,cincinnati-bengals
Trayveon Williams,RB,206,68,27,cincinnati-bengals
Logan Wilson,LB,245,74,28,cincinnati-bengals
Erick All,TE,255,77,24,cincinnati-bengals
Trenton Brown,OT,380,80,31,cincinnati-bengals
Chris Evans,RB,215,71,27,cincinnati-bengals
Daxton Hill,DB,191,72,24,cincinnati-bengals
Jaxson Kirkland,OG,328,79,26,cincinnati-bengals
Zack Moss,RB,215,70,26,cincinnati-bengals
Lance Robinson,DB,185,70,24,cincinnati-bengals
Cameron Sample,DE,272,75,25,cincinnati-bengals
D'Ante Smith,OT,309,77,26,cincinnati-bengals
Micah Abraham,DB,185,71,23,cincinnati-bengals
Gary Brightwell,RB,218,73,25,cincinnati-bengals
Nate Brooks,DB,192,72,28,cincinnati-bengals
Cole Burgess,WR,192,73,24,cincinnati-bengals
Andrew Coker,OT,315,79,23,cincinnati-bengals
Jalen Davis,DB,190,70,28,cincinnati-bengals
Shaka Heyward,LB,238,75,24,cincinnati-bengals
Trey Hill,C,335,76,24,cincinnati-bengals
Raymond Johnson,DE,270,75,26,cincinnati-bengals
Tashawn Manning,OG,340,76,26,cincinnati-bengals
Kendall Milton,RB,230,73,22,cincinnati-bengals
Kendric Pryor,WR,189,71,26,cincinnati-bengals
Justin Rogers,DT,335,75,23,cincinnati-bengals
Andrew Stueber,OT,338,79,25,cincinnati-bengals
Zachary Carter,DT,290,76,25,cincinnati-bengals
Lawrence Guy,DE,315,76,34,cincinnati-bengals
Jordan Akins,TE,245,76,32,cleveland-browns
Chigozie Anusiem,DB,200,73,24,cleveland-browns
D'Anthony Bell,DB,211,73,28,cleveland-browns
Joel Bitonio,OG,320,76,33,cleveland-browns
Corey Bojorquez,P,217,72,28,cleveland-browns
Devin Bush,LB,234,71,26,cleveland-browns
Geron Christian,OT,315,77,28,cleveland-browns
Nick Chubb,RB,227,71,28,cleveland-browns
Jack Conklin,OT,308,78,30,cleveland-browns
Jaelon Darden,WR,175,68,25,cleveland-browns
Grant Delpit,DB,208,75,26,cleveland-browns
Mohamoud Diabate,LB,225,76,23,cleveland-browns
Michael Dunn,OG,315,77,30,cleveland-browns
Martin Emerson,DB,201,74,24,cleveland-browns
Jerome Ford,RB,210,70,25,cleveland-browns
Mike Ford,DB,195,72,29,cleveland-browns
D'Onta Foreman,RB,235,72,28,cleveland-browns
Myles Garrett,DE,272,76,28,cleveland-browns
Shelby Harris,DT,288,74,33,cleveland-browns
Ronnie Hickman,DB,209,73,23,cleveland-browns
Jordan Hicks,LB,235,73,32,cleveland-browns
Dustin Hopkins,K,210,74,34,cleveland-browns
James Houston,DE,248,73,26,cleveland-browns
Khaleke Hudson,LB,220,72,26,cleveland-browns
